30,37,-50,-64
24,42,55,12
10,56,-49,82
67,69,-58,60
82,98,-57,61
29,1,20,-40
41,61,-95,92
92,68,38,80
26,82,58,79
84,42,11,-45
71,10,-76,21
42,3,-93,-25
53,102,93,-63
33,4,-13,-94
20,100,57,-32
17,50,51,39
75,41,-84,39
83,53,-64,-96
15,38,28,-72
35,23,-9,-69
26,92,10,56
19,54,-42,4
50,6,-72,28
88,19,-90,-29
11,85,-5,87
22,22,-49,60
70,81,-33,37
43,47,-93,35
5,32,-1,39
91,70,96,-44
10,87,-38,94
67,6,32,-99
54,41,-47,68
2,59,-75,-53
27,20,-46,5
22,28,-13,-75
51,29,99,66
98,28,-38,-30
26,53,-49,48
39,83,-67,3
34,59,-46,-57
96,92,83,26
18,70,59,23
41,84,-27,-1
5,40,-30,20
86,83,-59,87
3,76,12,-76
49,88,6,83
37,79,90,-5
78,42,21,50
78,55,-12,-95
66,14,31,1
53,47,-64,62
67,18,-89,58
87,10,-78,-29
62,86,-14,91
78,74,17,-81
12,62,-40,45
45,102,-91,-32
38,1,-99,97
39,81,55,-84
43,22,-85,65
44,30,43,35
58,22,-41,-48
59,35,-35,-45
93,23,-24,13
28,98,-39,96
95,34,-27,55
18,70,92,-27
7,76,-11,75
1,23,-98,-37
8,87,-3,-70
59,22,97,-71
69,79,-36,-23
34,82,-15,-35
5,7,-36,44
76,70,-79,-6
77,36,13,85
68,60,80,14
13,96,92,94
37,37,-93,-38
1,66,1,11
10,10,94,-37
97,86,-30,-5
69,11,-76,21
30,90,22,-96
33,26,-31,97
48,81,37,-54
19,37,72,33
49,88,36,-69
1,61,12,44
48,83,-72,91
39,6,-56,-55
94,98,44,-70
68,60,95,-99
44,52,-83,-61
44,81,89,51
4,44,36,-7
17,9,-77,-93
35,77,53,38
60,79,86,-81
16,81,85,69
54,10,-2,36
55,73,-43,-42
20,86,-11,-47
57,32,3,88
82,66,89,-42
90,4,-59,-55
8,20,-76,69
18,77,-79,-65
100,29,-24,66
22,3,-44,-47
52,49,-90,68
16,72,45,31
57,99,33,-82
51,56,16,9
28,90,88,-74
76,24,-43,-10
21,31,-36,-90
68,99,27,-40
0,84,69,83
100,88,-97,32
65,52,85,-4
31,61,-76,71
75,101,-70,55
43,17,74,-33
56,89,62,-54
3,50,-96,69
77,70,-49,53
69,69,-78,72
76,78,54,-8
32,75,-34,-11
42,100,47,75
70,28,97,4
88,42,75,39
64,20,-74,89
78,17,-72,-98
14,79,30,26
47,50,16,38
21,75,59,-73
82,74,81,30
25,62,11,-1
94,83,67,40
82,62,16,-5
26,97,67,50
6,77,-44,72
76,94,-17,77
55,27,-62,-75
86,14,-90,-97
51,66,78,-20
21,68,22,87
50,83,-68,-8
52,81,3,-8
10,82,36,-35
99,10,38,-65
56,61,-67,-55
46,39,-60,73
65,64,29,-65
11,5,91,-12
93,69,38,57
62,56,-68,61
31,86,-48,79
94,17,-90,86
71,37,-91,35
97,48,58,-69
95,11,75,-52
37,62,-87,38
63,76,97,41
9,74,78,-52
13,87,96,83
26,50,-46,-69
8,68,-43,-62
45,9,39,-2
29,79,-19,87
56,5,11,-16
92,68,25,99
98,2,-63,-13
29,102,-93,-36
73,9,56,-28
36,66,-83,-46
94,80,-43,-38
53,79,23,97
50,10,-91,-37
14,43,98,-49
3,78,78,-1
46,46,-31,-31
94,101,38,-70
56,23,-37,9
50,66,38,91
70,26,17,-34
7,92,7,-76
75,36,-45,-30
71,0,62,-51
72,92,12,9
34,39,84,84
73,88,-39,-26
51,81,-68,64
24,82,61,4
32,2,86,86
50,102,-30,-12
98,26,-67,14
96,88,35,-83
43,53,12,-99
77,50,56,-72
7,50,66,92
70,66,-6,38
60,29,-70,-33
70,11,89,24
93,58,-19,-74
96,68,98,30
70,68,-43,38
24,99,53,-28
98,38,-74,-9
69,49,-76,-23
9,75,-69,64
41,19,14,-71
0,23,38,-71
1,56,36,-23
55,52,-99,31
85,85,-22,75
18,78,69,-27
7,96,90,-89
96,85,40,-70
7,80,-92,87
81,6,46,-17
44,71,10,-19
12,72,73,-4
33,86,14,67
84,94,52,-24
34,66,-56,-65
31,60,-85,88
65,0,-35,-97
76,83,-12,60
15,29,64,-59
71,45,-68,43
19,77,92,95
6,85,-38,79
1,27,-59,33
38,12,-89,-10
45,27,51,66
23,100,-13,-70
18,43,-35,-59
63,28,72,-72
42,7,83,-5
28,99,29,-43
96,38,11,39
47,97,74,56
81,27,87,-64
63,6,39,93
15,43,-48,19
6,21,12,-65
52,70,-85,-14
96,53,-55,8
3,77,-98,-20
76,54,-86,-95
85,77,-49,-72
96,46,-84,39
42,79,-93,68
46,59,-17,7
52,16,-66,32
12,70,67,23
52,7,-21,67
13,62,-5,95
25,63,-83,19
91,25,54,24
28,9,-5,71
73,1,89,82
71,22,83,82
37,40,90,66
8,91,-3,-85
53,66,6,38
14,94,59,10
81,17,-12,-22
82,72,-20,-88
36,90,-47,-80
26,91,-77,-70
73,91,23,-40
76,68,21,53
64,30,-82,55
7,97,1,-13
69,87,57,-28
19,65,92,31
66,50,97,-53
86,54,13,84
23,51,-48,46
97,39,-61,-7
6,2,57,-42
51,71,-20,40
65,17,-76,-25
62,12,-14,-59
16,31,30,85
55,12,16,-23
22,45,96,-87
8,97,95,14
73,91,-96,-89
35,32,-50,-34
19,78,68,-89
88,23,-56,-58
63,20,74,29
81,79,-10,57
11,57,-40,-42
24,69,-83,-12
41,7,19,69
3,101,25,69
5,67,38,-88
66,50,-47,39
59,32,-93,16
71,48,45,-82
23,76,-46,83
27,9,-15,-78
39,57,99,-63
64,48,-39,-88
100,24,-78,-61
83,8,-88,-89
74,2,64,-65
58,54,-2,57
69,98,-66,-97
12,49,-69,27
66,9,60,-97
34,47,72,-26
48,4,66,62
64,22,-10,13
87,42,23,-87
32,67,6,-73
44,77,-1,-5
19,44,86,80
77,82,-86,3
90,99,43,-43
77,32,-28,-26
78,7,-14,2
15,69,-44,-69
80,23,-39,-74
93,39,-56,78
75,51,-47,-3
47,20,74,1
33,85,39,-47
33,2,36,50
46,43,81,-11
47,100,-62,-74
14,31,87,-78
63,56,41,43
80,57,41,47
57,26,2,12
56,25,5,-95
50,40,-66,35
67,30,27,-35
38,33,42,-10
12,4,28,59
2,48,54,30
10,8,88,-33
34,79,14,-35
52,99,60,14
25,66,-13,-50
94,44,7,-30
45,50,35,-30
72,96,-88,52
91,56,-24,19
83,92,17,-28
64,28,95,31
34,44,49,4
32,55,-52,-80
11,25,40,35
80,2,-6,-74
83,27,-48,61
23,53,-3,-92
60,44,-65,-48
46,102,-25,-97
8,6,-36,-2
87,88,13,18
40,84,-33,53
13,7,28,-78
60,10,27,21
92,50,44,4
81,55,-51,-76
9,102,32,-2
65,42,-6,54
9,96,-34,71
34,94,-87,94
74,62,90,-52
51,8,61,48
45,27,70,5
15,74,51,-62
92,49,83,-22
4,23,-28,32
30,54,41,-57
70,65,27,-4
39,43,-56,-38
68,75,-78,3
71,58,60,-65
7,73,98,49
7,54,-89,96
77,45,81,43
88,76,-37,13
62,41,99,39
65,76,77,52
72,97,-43,25
60,30,99,5
25,35,-23,-53
84,24,-88,-60
41,0,20,6
78,52,-18,-72
68,65,95,19
11,40,90,-56
69,40,35,58
82,44,13,-7
32,23,-21,32
61,8,68,-63
81,5,85,-74
55,67,66,57
15,6,71,-63
29,93,-32,72
51,31,-20,45
45,63,37,19
56,92,-37,-43
57,44,4,16
29,11,-50,93
8,1,42,-17
77,71,97,76
98,97,43,-84
71,51,-42,72
4,24,92,-10
37,71,14,-88
2,0,71,86
94,71,7,30
95,22,-44,-56
13,58,96,-4
10,75,-47,74
91,27,32,-68
94,31,48,-56
21,48,47,23
98,78,-73,79
69,66,-76,49
87,67,78,60
56,32,37,-29
75,1,-72,88
90,71,-64,-50
63,58,27,-40
0,27,-20,-25
32,4,-87,36
68,51,-78,-76
80,78,-82,-77
33,7,47,-44
42,98,80,75
44,97,-19,17
91,63,-33,98
60,48,75,92
41,32,-14,-84
7,29,-42,-11
2,70,-63,87
85,48,-16,-34
5,54,-82,51
56,95,-61,-62
5,57,-57,69
80,14,-82,-71
30,72,-52,-92
70,49,-41,27
71,82,60,-1
71,9,25,97
100,101,91,-57
5,48,44,38
95,75,65,83
34,47,-29,27
89,82,19,34
76,92,-29,-2
71,92,81,-70
17,68,90,-8
71,44,96,32
57,25,-10,54
75,67,-16,-62
46,87,-37,41
74,98,97,78
30,22,72,-38
41,17,-23,-21
67,34,85,61
63,58,31,42
96,5,-94,-17
64,102,99,29
99,39,-63,27
16,84,-40,-24
22,19,55,2
70,76,-98,-46
16,46,-40,16
37,10,7,-28
59,49,3,-90
38,38,-79,8
43,85,45,-58
99,23,-26,24
45,69,-70,-62
44,22,-73,21
24,17,-10,43
61,90,-70,98
69,65,-14,-81
23,93,-6,-99
80,30,-25,-25
31,53,-91,-92
45,2,78,21
50,47,-87,-45
32,86,84,-62
47,81,97,-92
99,95,78,-66
